日期,国家,确诊人数,治愈人数,新增确诊,新增死亡,现有确诊
,塞内加尔,130,18,11,,112
,塞内加尔,142,27,12,,115
,塞内加尔,162,27,20,,135
,塞内加尔,175,40,13,,135
,塞内加尔,190,45,15,1,145
,塞内加尔,195,55,5,0,140
,塞内加尔,207,66,12,0,141
,塞内加尔,219,72,12,1,147
,塞内加尔,222,82,3,0,140
,塞内加尔,226,92,4,0,134
,塞内加尔,237,105,11,0,132
,塞内加尔,244,113,7,0,131
,塞内加尔,250,123,6,0,127
,塞内加尔,265,137,15,0,128
,塞内加尔,278,152,13,0,126
,塞内加尔,280,171,2,0,109
,塞内加尔,291,178,11,0,113
,塞内加尔,299,183,8,0,116
,塞内加尔,314,190,15,0,124
,塞内加尔,335,194,21,0,141
,塞内加尔,342,198,7,0,144
,塞内加尔,350,211,8,1,139
,塞内加尔,367,220,17,0,147
,塞内加尔,377,235,10,2,142
,塞内加尔,412,242,35,0,170
,塞内加尔,442,253,30,1,189
,塞内加尔,479,257,37,0,222
,塞内加尔,545,262,66,1,283
,塞内加尔,614,276,69,0,338
,塞内加尔,671,283,57,1,388
,塞内加尔,736,284,65,1,452
,塞内加尔,823,296,87,0,527
,塞内加尔,882,315,59,0,567
,塞内加尔,933,334,51,0,599
,塞内加尔,1024,356,91,0,668
,塞内加尔,1115,368,91,0,747
,塞内加尔,1182,372,67,0,810
,塞内加尔,1271,415,89,1,856
,塞内加尔,1329,470,58,1,859
,塞内加尔,1433,493,104,1,940
,塞内加尔,1492,562,59,1,930
,塞内加尔,1551,611,59,0,940
,塞内加尔,1634,643,83,4,991
,塞内加尔,1709,650,75,2,1059
,塞内加尔,1886,715,177,0,1171
,塞内加尔,1995,742,109,0,1253
,塞内加尔,2105,782,110,2,1323
,塞内加尔,2189,842,84,2,1347
,塞内加尔,2310,890,121,2,1420
,塞内加尔,2429,949,119,0,1480
,塞内加尔,2480,973,51,0,1507
,塞内加尔,2544,1076,64,1,1468
,塞内加尔,2617,1133,73,4,1484
,塞内加尔,2714,1186,97,0,1528
,塞内加尔,2812,1251,98,2,1561
,塞内加尔,2909,1311,97,1,1598
,塞内加尔,2976,1416,67,1,1560
,塞内加尔,3047,1456,71,1,1591
,塞内加尔,3130,1515,83,0,1615
,塞内加尔,3161,1565,31,1,1596
,塞内加尔,3253,1586,92,2,1667
,塞内加尔,3348,1686,95,1,1662
,塞内加尔,3429,1738,81,2,1691
,塞内加尔,3535,1761,106,1,1774
,塞内加尔,3645,1801,110,0,1844
,塞内加尔,3739,1858,94,0,1881
,塞内加尔,3836,1954,97,1,1882
,塞内加尔,3932,2063,96,2,1869
,塞内加尔,4021,2162,89,0,1859
,塞内加尔,4155,2276,134,0,1879
,塞内加尔,4249,2512,94,2,1737
,塞内加尔,4328,2588,79,2,1740
,塞内加尔,4427,2699,99,0,1728
,塞内加尔,4516,2809,89,3,1707
,塞内加尔,4640,2885,124,0,1755
,塞内加尔,4759,2994,119,3,1765
,塞内加尔,4851,3100,92,1,1751
,塞内加尔,4996,3228,145,4,1768
,塞内加尔,5090,3344,94,0,1746
,塞内加尔,5173,3424,83,4,1749
,塞内加尔,5247,3525,74,6,1722
,塞内加尔,5369,3606,122,3,1763
,塞内加尔,5475,3716,106,3,1759
,塞内加尔,5639,3788,164,3,1851
,塞内加尔,5783,3859,144,3,1924
,塞内加尔,5888,3919,105,2,1969
,塞内加尔,0,0,0,0,0
,塞内加尔,0,0,0,0,0
,塞内加尔,0,0,0,0,0
,塞内加尔,0,0,0,0,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,,,,,0
,科特迪瓦,1,,1,,1
,科特迪瓦,1,,0,,1
,科特迪瓦,1,,0,,1
,科特迪瓦,1,,0,,1
,科特迪瓦,4,,3,,4
,科特迪瓦,4,,0,,4
,科特迪瓦,4,,0,,4
,科特迪瓦,9,1,5,,8
,科特迪瓦,9,1,0,,8
,科特迪瓦,14,1,5,,13
,科特迪瓦,14,1,0,,13
,科特迪瓦,14,1,0,,13
,科特迪瓦,25,2,11,,23
,科特迪瓦,73,2,48,,71
,科特迪瓦,80,3,7,,77
,科特迪瓦,96,3,16,,93
,科特迪瓦,101,3,5,,98
,科特迪瓦,101,3,0,,98
,科特迪瓦,165,4,64,1,161
,科特迪瓦,165,4,0,0,161
,科特迪瓦,168,6,3,0,162
,科特迪瓦,190,9,22,0,181
,科特迪瓦,194,15,4,0,179
,科特迪瓦,218,19,24,0,199
,科特迪瓦,245,25,27,0,220
,科特迪瓦,261,37,16,2,224
,科特迪瓦,323,41,62,0,282
,科特迪瓦,349,41,26,0,308
,科特迪瓦,384,48,35,0,336
,科特迪瓦,444,52,60,0,392
,科特迪瓦,444,52,0,0,392
,科特迪瓦,533,58,89,1,475
,科特迪瓦,574,85,41,1,489
,科特迪瓦,626,89,52,1,537
,科特迪瓦,638,114,12,0,524
,科特迪瓦,638,114,0,0,524
,科特迪瓦,654,146,16,0,508
,科特迪瓦,688,193,34,0,495
,科特迪瓦,801,239,113,2,562
,科特迪瓦,847,260,46,1,587
,科特迪瓦,847,260,0,0,587
,科特迪瓦,916,303,69,4,613
,科特迪瓦,916,303,0,0,613
,科特迪瓦,1004,359,88,1,645
,科特迪瓦,1004,359,0,0,645
,科特迪瓦,1077,419,73,0,658
,科特迪瓦,1150,468,73,0,682
,科特迪瓦,1164,499,14,0,665
,科特迪瓦,1164,499,0,0,665
,科特迪瓦,1183,525,19,0,658
,科特迪瓦,1275,574,92,0,701
,科特迪瓦,1275,574,0,0,701
,科特迪瓦,1362,622,87,1,740
,科特迪瓦,1398,653,36,2,745
,科特迪瓦,1432,693,34,0,739
,科特迪瓦,1464,701,32,1,763
,科特迪瓦,1516,721,52,0,795
,科特迪瓦,1516,721,0,0,795
,科特迪瓦,1602,754,86,2,848
,科特迪瓦,1667,769,65,1,898
,科特迪瓦,1700,794,33,0,906
,科特迪瓦,1700,794,0,0,906
,科特迪瓦,1730,818,30,0,912
,科特迪瓦,1912,902,182,3,1010
,科特迪瓦,1971,930,59,0,1041
,科特迪瓦,2017,942,46,0,1075
