日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
5月28日,美国,1742286,485929,101842,19430,1374,1256357
5月29日,美国,1766201,497958,103265,23915,1423,1268243
5月30日,美国,1788719,518114,104386,22518,1121,1270605
5月31日,美国,1814602,528345,105514,25883,1128,1286257
6月1日,美国,1834494,541168,106141,19892,627,1293326
6月2日,美国,1856800,608191,106851,22306,710,1248609
6月3日,美国,1878305,622092,107970,21505,1119,1256213
6月4日,美国,1898459,652021,108993,20154,1023,1246438
6月5日,美国,1921992,705991,110093,23533,1100,1216001
6月6日,美国,1951009,718239,111265,29017,1172,1232770
6月7日,美国,1986111,746976,112046,35102,781,1239135
6月8日,美国,2005813,757107,112477,19702,431,1248706
6月9日,美国,2024283,771060,113024,18470,547,1253223
6月10日,美国,2043291,783082,114088,19008,1064,1260209
6月11日,美国,2064085,800512,115084,20794,996,1263573
6月12日,美国,2087845,813497,115988,23760,904,1274348
6月13日,美国,2114776,837451,116773,26931,785,1277325
6月14日,美国,2140799,849117,117485,26023,712,1291682
6月15日,美国,2160857,860122,117841,20058,356,1300735
6月16日,美国,2182950,889866,118283,22093,442,1293084
6月17日,美国,2203095,898250,119017,20145,734,1304845
6月18日,美国,2231598,911110,119892,28503,875,1320488
6月19日,美国,2257604,924930,120531,26006,639,1332674
6月20日,美国,2293300,953453,121364,35696,833,1339847
6月21日,美国,2326225,966048,121897,32925,533,1360177
6月22日,美国,2352882,977683,122237,26657,340,1375199
6月23日,美国,0,0,0,0,0,0
6月24日,美国,0,0,0,0,0,0
6月25日,美国,0,0,0,0,0,0
6月26日,美国,0,0,0,0,0,0
6月27日,美国,0,0,0,0,0,0
6月28日,美国,0,0,0,0,0,0
6月29日,美国,0,0,0,0,0,0
6月30日,美国,0,0,0,0,0,0
2月1日,西班牙,1,,0,,0,1
2月2日,西班牙,1,,0,0,0,1
2月3日,西班牙,1,,0,0,0,1
2月4日,西班牙,1,,0,0,0,1
2月5日,西班牙,1,,0,0,0,1
2月6日,西班牙,1,,0,0,0,1
2月7日,西班牙,1,,0,0,0,1
2月8日,西班牙,1,,0,0,0,1
2月9日,西班牙,1,,0,0,0,1
2月10日,西班牙,2,,0,1,0,2
2月11日,西班牙,2,,0,0,0,2
2月12日,西班牙,2,,0,0,0,2
2月13日,西班牙,2,,0,0,0,2
2月14日,西班牙,2,,0,0,0,2
2月15日,西班牙,2,,0,0,0,2
2月16日,西班牙,2,,0,0,0,2
2月17日,西班牙,2,,0,0,0,2
2月18日,西班牙,2,,0,0,0,2
2月19日,西班牙,2,,0,0,0,2
2月20日,西班牙,2,,0,0,0,2
2月21日,西班牙,2,,0,0,0,2
2月22日,西班牙,2,,0,0,0,2
2月23日,西班牙,2,,0,0,0,2
2月24日,西班牙,2,,0,0,0,2
2月25日,西班牙,2,,0,0,0,2
2月26日,西班牙,2,,0,0,0,2
2月27日,西班牙,12,,0,10,0,12
2月28日,西班牙,25,,0,13,0,25
2月29日,西班牙,32,,0,7,0,32
3月1日,西班牙,45,,0,13,0,45
3月2日,西班牙,45,,0,0,0,45
