日期,国家,确诊人数,治愈人数,死亡人数,新增确诊,新增死亡,现有确诊
5月18日,全球,4710596,1847793,315525,86289,4322,2862803
5月19日,全球,4787067,1893657,318312,76471,2787,2893410
5月20日,全球,4887352,1950673,323211,100285,4899,2936679
5月21日,全球,4984372,2001689,327695,97020,4484,2982683
5月22日,全球,5088459,2068425,332036,104087,4341,3020034
5月23日,全球,5197845,2139160,336962,109386,4926,3058685
5月24日,全球,5303599,2235279,341601,105754,4639,3068320
5月25日,全球,5401158,2291144,344307,97559,2706,3110014
5月26日,全球,5485167,2353734,346952,84009,2645,3131433
5月27日,全球,5568287,2417799,350403,83120,3451,3150488
5月28日,全球,5679037,2477342,355951,110750,5548,3201695
5月29日,全球,5784591,2570469,360474,105554,4523,3214122
5月30日,全球,5909201,2650522,365406,124610,4932,3258679
5月31日,全球,6030923,2712832,369567,121722,4161,3318091
6月1日,全球,6161061,2781931,373346,130138,3779,3379130
6月2日,全球,6262308,2886826,376497,101247,3151,3375482
6月3日,全球,6365491,2951362,380732,103183,4235,3414129
6月4日,全球,6484820,3110630,385394,119329,4662,3374190
6月5日,全球,6629979,3225836,391550,145159,6156,3404143
6月6日,全球,6758937,3310410,396798,128958,5248,3448527
6月7日,全球,6899189,3401558,400962,140252,4164,3497631
6月8日,全球,7017118,3450985,404585,117929,3623,3566133
6月9日,全球,7120328,3504300,407406,103210,2821,3616028
6月10日,全球,7256106,3592208,412766,135778,5360,3663898
6月11日,全球,7389880,3720526,417861,133774,5095,3669354
6月12日,全球,7527431,3831700,422812,137551,4951,3695731
6月13日,全球,7665096,3907775,427256,137665,4444,3757321
6月14日,全球,7801746,4016178,431537,136650,4281,3785568
6月15日,全球,7929355,4095462,434974,127609,3437,3833893
6月16日,全球,8065497,4213182,439050,136142,4076,3852315
6月17日,全球,8181382,4289098,444461,115885,5411,3892284
6月18日,全球,8332195,4375596,450109,150813,5648,3956599
6月19日,全球,8504776,4501293,455175,172581,5066,4003483
6月20日,全球,8687145,4615325,461492,182369,6317,4071820
6月21日,全球,8847605,4724625,465941,160460,4449,4122980
6月22日,全球,8979521,4793295,469399,131916,3458,4186226
6月23日,全球,,,,,,0
6月24日,全球,,,,,,0
6月25日,全球,,,,,,0
6月26日,全球,,,,,,0
2月1日,美国,7,,0,,0,7
2月2日,美国,8,,0,1,0,8
2月3日,美国,11,,0,3,0,11
2月4日,美国,11,,0,0,0,11
2月5日,美国,11,,0,0,0,11
2月6日,美国,12,,0,1,0,12
2月7日,美国,12,,0,0,0,12
2月8日,美国,12,,0,0,0,12
2月9日,美国,12,,0,0,0,12
2月10日,美国,12,,0,0,0,12
2月11日,美国,13,,0,1,0,13
2月12日,美国,13,,0,0,0,13
2月13日,美国,14,,0,1,0,14
2月14日,美国,15,,0,1,0,15
2月15日,美国,15,,0,0,0,15
2月16日,美国,15,,0,0,0,15
2月17日,美国,15,,0,0,0,15
2月18日,美国,15,,0,0,0,15
2月19日,美国,15,,0,0,0,15
2月20日,美国,15,,0,0,0,15
2月21日,美国,15,,0,0,0,15
2月22日,美国,35,,0,20,0,35
2月23日,美国,35,,0,0,0,35
2月24日,美国,35,,0,0,0,35
2月25日,美国,53,,0,18,0,53
2月26日,美国,53,,0,0,0,53
2月27日,美国,59,,0,6,0,59
2月28日,美国,59,,0,0,0,59
2月29日,美国,62,,0,3,0,62
3月1日,美国,62,,0,0,0,62
3月2日,美国,62,,0,0,0,62
3月3日,美国,64,,2,2,2,64
3月4日,美国,108,,6,44,4,108
3月5日,美国,129,,9,21,3,129
3月6日,美国,148,,10,19,1,148
3月7日,美国,317,15,15,169,5,302
3月8日,美国,434,15,19,117,4,419
3月9日,美国,538,15,22,104,3,523
3月10日,美国,624,15,26,86,4,609
3月11日,美国,975,15,30,351,4,960
3月12日,美国,1301,15,38,326,8,1286
3月13日,美国,1697,30,41,396,3,1667
3月14日,美国,2269,41,48,572,7,2228
3月15日,美国,2836,49,57,567,9,2787
3月16日,美国,3668,59,68,832,11,3609
3月17日,美国,4547,74,85,879,17,4473
3月18日,美国,6439,106,109,1892,24,6333
3月19日,美国,9261,106,150,2822,41,9155
3月20日,美国,13816,108,207,4555,57,13708
3月21日,美国,19083,147,275,5267,68,18936
3月22日,美国,26111,176,324,7028,49,25935
3月23日,美国,32356,178,414,6245,90,32178
3月24日,美国,43449,295,545,11093,131,43154
3月25日,美国,53358,370,695,9909,150,52988
3月26日,美国,65342,393,922,11984,227,64949
3月27日,美国,82179,1864,1177,16837,255,80315
3月28日,美国,100514,2465,1546,18335,369,98049
3月29日,美国,120529,3229,2008,20015,462,117300
3月30日,美国,139986,4435,2454,19457,446,135551
3月31日,美国,160344,5220,2953,20358,499,155124
4月1日,美国,185270,6347,3780,24926,827,178923
4月2日,美国,211408,8805,4718,26138,938,202603
4月3日,美国,240529,10365,5810,29121,1092,230164
4月4日,美国,274178,12044,7053,33649,1243,262134
4月5日,美国,308124,14686,8392,33946,1339,293438
4月6日,美国,334125,17177,9557,26001,1165,316948
4月7日,美国,363424,19532,10764,29299,1207,343892
4月8日,美国,394182,21571,12716,30758,1952,372611
4月9日,美国,425828,22202,14604,31646,1888,403626
4月10日,美国,463433,25139,16504,37605,1900,438294
4月11日,美国,496828,26822,18509,33395,2005,470006
4月12日,美国,529343,29442,20466,32515,1957,499901
4月13日,美国,557235,31976,21956,27892,1490,525259
4月14日,美国,583870,35755,23485,26635,1529,548115
4月15日,美国,610632,38562,25856,26762,2371,572070
4月16日,美国,641410,48131,28394,30778,2538,593279
4月17日,美国,669129,57271,32868,27719,4474,611858
4月18日,美国,699850,59142,37242,30721,4374,640708
4月19日,美国,736052,67418,38844,36202,1602,668634
4月20日,美国,762496,69956,40478,26444,1634,692540
4月21日,美国,788690,71781,42263,26194,1785,716909
4月22日,美国,815892,82620,45126,27202,2863,733272
4月23日,美国,844992,83910,47430,29100,2304,761082
4月24日,美国,876174,85010,49651,31182,2221,791164
4月25日,美国,916348,93275,51742,40174,2091,823073
4月26日,美国,955488,116167,54120,39140,2378,839321
4月27日,美国,985060,118735,55357,29572,1237,866325
4月28日,美国,1004942,137591,56527,19882,1170,867351
4月29日,美国,1029878,140138,58640,24936,2113,889740
4月30日,美国,1056646,145320,61180,26768,2540,911326
