lat,lng,value
4.860416000000002,-58.93018000000001,12703
18.9712,-72.2852,12958
41.9029,12.4534,27
15.2,-86.2419,206907
47.1625,19.5033,769518
64.9631,-19.0208,6390
11.225999,92.968178,5614
15.9129,79.74,1020926
27.768456,96.384277,17546
26.357149,92.830441,235689
25.679658,85.60484,390801
30.733839,76.76827800000002,37943
21.264705,82.035366,639696
20.194742,73.080901,6379
28.646519,77.10898,1004782
15.359682,74.057396,75184
22.694884,71.590923,481737
29.20004,76.332824,413334
31.927213,77.233081,86138
33.75943,76.612638,158374
23.654536,85.557631,195844
14.70518,76.166436,1304397
10.450898,76.405749,1377186
34.1526,77.5771,13237
13.6999972,72.18333259999999,1962
23.541513,78.289633,485703
19.449759,76.108221,4228836
24.738975,93.882541,30281
25.536934,91.278882,15786
23.309381,92.83822,5388
26.06702,94.470302,13003
20.505428,84.418059,401341
11.882658,78.86498,52271
30.841465000000003,75.40879,332110
26.583423,73.847973,498628
27.571671,88.472712,7158
11.006091,78.400624,1066329
18.1124,79.0193,395232
23.746783,91.743565,34529
,,0
26.925425,80.560982,1051314
30.156447,79.197608,147433
23.814082,87.979803,728061
-0.7893,113.9213,1641194
32.427908,53.68804599999999,2396204
33.223191,43.679291,1031322
53.1424,-7.6921,246633
31.046051,34.851612,838024
42.35122196,13.39843823,70519
40.63947052,15.80514834,23288
38.90597598,16.59440194,58106
40.83956555,14.25084984,383128
44.49436681,11.3417208,364782
45.6494354,13.76813649,104437
41.89277044,12.48366722,318498
44.41149315,8.9326992,98154
45.46679409,9.190347404,795417
43.61675973,13.5188753,96420
41.55774754,14.65916051,13103
46.49933453,11.35662422,70873
46.06893511,11.12123097,43634
45.0732745,7.680687483,340851
41.12559576,16.86736689,229181
39.21531192,9.110616306,53455
38.11569725,13.362356699999998,203576
43.76923077,11.25588885,222814
43.10675841,12.38824698,53915
45.73750286,7.320149366,10693
45.43490485,12.33845213,407830
18.1096,-77.2975,45004
35.035551,137.211621,31996
39.748679,140.408228,414
40.781541,140.828896,1482
35.510141,140.198917,32446
33.624835,132.856842,2194
35.846614,136.22465400000002,849
33.526032,130.666949,21930
37.378867,140.223295,3216
35.778671,137.055925,5513
36.504479,138.985605,5725
34.605309000000005,132.788719,5701
43.385711,142.552318,23263
35.039913,134.828057,29322
36.303588,140.319591,7895
36.769464,136.771027,2370
39.593287,141.361777,848
34.217292,133.969047,1154
31.009484000000004,130.430665,2024
35.415312,139.338983,52469
33.422519,133.367307,990
32.608154,130.74523100000002,3904
35.253815,135.443341,11885
34.508018,136.376013,3525
38.446859,140.927086,7946
32.193203999999994,131.299374,2136
36.132134,138.045528,3734
33.235712,129.608033,1947
34.317451,135.871644,5686
37.521819,138.918647,2179
33.200697,131.43323999999998,1641
34.89246,133.826252,3601
25.768923,126.668016,12182
34.620965000000005,135.507481,75534
,,2647
33.286977,130.115738,1537
35.997101,139.347635,36931
35.21582700000001,136.138064,3524
35.07076,132.55406399999998,338
34.916975,138.40778400000002,6321
36.689912,139.819213,5235
33.919178,134.242091,1159
35.711343,139.446921,135241
35.359069,133.863619,360
36.637464,137.26934599999998,1259
,,8
33.911879,135.505446,2033
38.448396,140.102154,1467
34.201190000000004,131.573293,1719
35.612364,138.61148899999998,1141
31.24,36.51,702154
48.0196,66.9237,361575
-0.0236,37.9062,156787
35.90775700000001,127.766922,119387
42.602636,20.902977,103638
29.31166,47.481766,266949
41.20438,74.766098,93831
19.85627,102.495496,323
56.8796,24.6032,115316
33.8547,35.8623,520939
-29.61,28.2336,10728
6.4280550000000005,-9.429499,2097
26.3351,17.228331,175286
47.14,9.55,2884
55.1694,23.8813,241297
49.8153,6.1296,66007
,,9
-18.766947,46.869107,35746
-13.2543,34.3015,34016
4.210483999999999,101.975766,392942
3.2028,73.2207,27874
17.570692,-3.996166000000001,13627
35.9375,14.3754,30174
7.1315,171.1845,4
21.0079,-10.9408,18257
-20.348404,57.552152,1206
21.8853,-102.2916,25856
30.8406,-115.2838,47478
26.0444,-111.6661,29984
19.8301,-90.5349,9364
16.7569,-93.1292,10833
28.633000000000006,-106.0691,51353
19.4326,-99.1332,636109
27.0587,-101.7068,67791
19.1223,-104.0072,11168
24.5593,-104.6588,33317
21.019,-101.2574,130265
17.4392,-99.5451,39343
20.0911,-98.7624,38046
20.6595,-103.3494,84982
19.4969,-99.7233,242895
19.5665,-101.7068,46922
18.6813,-99.1013,31890
21.7514,-104.8455,11701
25.5922,-99.9962,122093
17.0732,-96.7266,45638
19.0414,-98.2063,82762
20.5888,-100.3899,67483
19.1817,-88.4791,22801
22.1565,-100.9855,62172
25.1721,-107.4795,37541
29.2972,-110.3309,72984
17.8409,-92.6189,63957
